,Column,RelWeight
0,How well is the problem identified and defined?,0.0327
1,What is the level of pain area felt / perceived by the target customers / consumers?,0.0322
2,What is the level of uniqueness in the proposition for the venture?,0.0293
3,How high are the defensible technology barriers in the business? (High being 4),0.0379
4,What is the strength of the competitive advantage in the business model?,0.036
5,What is the level of competition in terms of alternatives available ?,0.0317
6,Low Price,0.033
7,Superior Quality,0.0332
8,Distribution Leverage,0.0348
9,Geographic Presence,0.0326
10,What is the level of sustainability of the competitive advantage in the next 24 months?,0.0329
11,No Traction yet,0.0368
12,Some Free Customers,0.0279
13,Lots of Free Customers,0.0279
14,Some Paid Customers,0.032
15,Growing Fast,0.0312
16,How feasible do you think is the Go To Market plan in next 12-18 month timeframe ?,0.0317
17,What is the level of understanding and clarity of the financial projections by the team ?,0.0292
18,Does the business model has high level of operating leverage & scalability potential ?,0.0391
19,How do you think is the ability of the team to manage risks with Plan B ?,0.0368
20,How would you rate the likability & connect with the Founder and his authenticity?,0.028
21,How did you find the overall presentation quality in terms of clarity and impact through communication ?,0.0283
22,"How would you rate the quality of presentation deck in terms of clarity, scope, visual impact & simplicity ?",0.0367
23,What is the overall feasibility of the business going forward ?,0.0484
24,Addressable Market Size,0.0351
25,Technology Barrier,0.0371
26,Go to market plan strength,0.0339
27,Revenue Stage,0.0322
28,Product Uniqueness,0.0297
29,Other,0.0319
