,Company,DiffScore
0,Taxumo,0.5347999999999999
1,Sauceink,0.9282999999999999
2,Raydar,0.5304
3,Ludiino,0.73695
4,Sendhelper,0.4913
5,Uploan,0.4326
6,Ferosh,0.5651999999999999
7,Travel Dil Se,0.74565
8,Psyquation,0.4739
9,MedLabz,0.7804500000000001
10,Fetch,0.7543500000000001
11,Perpule,0.43260000000000004
12,Zyllem,0.81085
13,Tralulu,0.30000000000000004
14,Swoop,0.31525
15,Playtoome,0.65215
16,Averspace,0.42610000000000003
17,Myvi,0.44999999999999996
18,Techspeare,0.16090000000000002
19,Dion Online,0.45
20,Refly,0.40435000000000004
21,Cropital,0.2304
